Round,変数,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14
R08,累積販売数,"1,075",727,996,918,"1,594","1,012",648,724,"1,107",939,749,839,943,"1,011"
R08,剰余金,"-40,120","36,675","15,820","24,190","-86,221","2,200","21,650","-10,230","-65,060","19,846","5,440","16,250","-11,090","-25,178"
R09,累積販売数,"1,115",803,"1,114","1,008","2,094","1,136",707,785,"1,374","1,048",816,921,"1,000","1,150"
R09,剰余金,"-45,120","25,803","-2,480","9,440","-197,132","-15,920","14,890","-28,380","-109,570","-6,688","-9,620","-2,250","-23,780","-45,388"
R10,累積販売数,"1,167",893,"1,264","1,120","2,555","1,286",787,854,"1,486","1,218",932,"1,041","1,112","1,220"
R10,剰余金,"-50,720","24,653","-4,480","7,840","-303,408","-22,420","14,890","-29,730","-136,599","-13,088","-9,580","-1,850","-25,380","-44,388"
R11,累積販売数,"1,575",953,"1,522","1,183","2,887","1,463",833,898,"1,704","1,317",999,"1,106","1,167","1,286"
R11,剰余金,"-181,856",-47,"-66,120","-15,540","-462,419","-107,460","-10,810","-52,330","-210,528","-57,995","-31,340","-25,050","-52,480","-77,528"
R01,資本金,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
R02,資本金,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
R03,資本金,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
R04,資本金,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
R05,資本金,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
R06,資本金,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
R07,資本金,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
R08,資本金,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
R09,資本金,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
R10,資本金,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
R11,資本金,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
R01,資本負債合計,"525,000","520,000","520,000","518,000","520,000","515,000","520,000","513,000","520,000","515,000","522,000","515,000","525,000","517,000"
R02,資本負債合計,"555,000","547,000","540,000","543,000","550,000","545,000","550,000","538,000","550,000","542,000","545,000","535,000","555,000","544,500"
R03,資本負債合計,"561,000","565,100","560,500","554,200","570,250","570,000","569,000","555,000","575,000","561,400","557,000","547,900","557,310","566,150"
R04,資本負債合計,"541,000","553,275","554,300","549,800","545,290","552,600","542,400","560,000","565,500","548,976","539,190","539,350","536,710","546,550"
R05,資本負債合計,"458,600","530,945","524,270","533,440","514,290","519,600","519,650","484,460","489,550","525,976","502,690","521,700","490,710","511,454"
R06,資本負債合計,"451,780","527,695","519,270","525,440","491,790","511,600","519,650","485,020","460,440","523,526","500,210","509,250","486,310","493,062"
R07,資本負債合計,"455,780","530,175","513,320","521,690","497,000","507,200","517,150","487,770","442,440","523,046","500,560","511,250","487,910","482,462"
R08,資本負債合計,"459,880","536,675","515,820","524,190","532,000","502,200","521,650","489,770","434,940","519,846","505,440","516,250","488,910","474,822"
R09,資本負債合計,"454,880","525,803","497,520","509,440","532,000","484,080","514,890","471,620","399,000","493,312","490,380","497,750","476,220","454,612"
R10,資本負債合計,"528,000","524,653","495,520","507,840","500,000","477,580","514,890","470,270","404,000","486,912","490,420","498,150","474,620","455,612"
R11,資本負債合計,"396,864","499,953","433,880","484,460","465,000","392,540","489,190","447,670","504,000","442,005","468,660","474,950","447,520","422,472"
